%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5
1407778109550989803,179,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778109650851309,180,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778109750854525,181,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778109850853141,182,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778109951011820,183,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778110050809472,184,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778110150814651,185,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778110250950678,186,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778110350866719,187,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778110449849125,188,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778110550945403,189,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778110650895368,190,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778110750862708,191,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778110849998761,192,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778110950831225,193,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778111050806787,194,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778111150841472,195,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778111251013885,196,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778111350967748,197,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778111450891931,198,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778111550839199,199,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778111651049786,200,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778111750891584,201,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778111850881669,202,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778111951044095,203,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778112050971008,204,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778112150995803,205,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778112253797617,206,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778112350806864,207,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.74519928973,-1.74348368136,0.695693177346,-0.825231063822,1.49704753726,3.12736072072
1407778112450925393,208,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.79057742418,-1.74348368136,0.657296519697,-0.833084725876,1.42897900401,3.09070869991
1407778112550927580,209,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.85515375429,-1.74348368136,0.638098190873,-0.833084725876,1.40803483993,3.08547239257
1407778112649862759,210,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.91798464863,-1.74522911714,0.632862283012,-0.835702613228,1.40541681942,3.08547239257
1407778112751001690,211,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.97034346092,-1.75221086025,0.601446835845,-0.851409937337,1.35567442974,3.04620221808
1407778112849890363,212,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.03491979103,-1.75570173181,0.561304875576,-0.851409937337,1.29545995802,3.03049409503
1407778112950788943,213,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.10473189585,-1.75570173181,0.549087757233,-0.851409937337,1.290223917,3.03049409503
1407778113050793059,214,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.17279856489,-1.75570173181,0.545597151993,-0.851409937337,1.28760589649,3.03049409503
1407778113150989217,215,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.2426106697,-1.75570173181,0.545597151993,-0.854027824689,1.28760589649,3.03049409503
1407778113249877712,216,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.31067787137,-1.75744716759,0.543851849372,-0.854027824689,1.28760589649,3.03049409503
1407778113350825557,217,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.38048997619,-1.75744716759,0.543851849372,-0.854027824689,1.28760589649,3.03049409503
1407778113451922637,218,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.450302081,-1.75744716759,0.543851849372,-0.854027824689,1.28760589649,3.03049409503
1407778113550902984,219,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.51836875004,-1.75744716759,0.543851849372,-0.854027824689,1.28760589649,3.03049409503
1407778113649853617,220,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.58818085485,-1.75744716759,0.543851849372,-0.854027824689,1.28760589649,3.03049409503
1407778113750942953,221,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.65799402493,-1.75744716759,0.543851849372,-0.854027824689,1.28760589649,3.03049409503
1407778113849875143,222,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.72606229187,-1.75744716759,0.542106546752,-0.854027824689,1.28760589649,3.03049409503
1407778113950932389,223,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.79587599458,-1.75744716759,0.543851849372,-0.854027824689,1.28760589649,3.03049409503
1407778114050947400,224,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.86568916466,-1.75744716759,0.543851849372,-0.854027824689,1.28760589649,3.03049409503
1407778114150836307,225,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-2.93375743159,-1.75744716759,0.542106546752,-0.854027824689,1.28760589649,3.03049409503
1407778114250949461,226,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-3.00357060167,-1.75744716759,0.542106546752,-0.854027824689,1.28760589649,3.02787620768
1407778114350882420,227,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-3.07163833597,-1.75744716759,0.542106546752,-0.854027824689,1.28760589649,3.02787620768
