%time.ns;field.joint2.degree;Field.velocity.degree/s
1407505566402960000;175.05279541;5
1407505566431930000;175.152801514;5
1407505566459930000;175.152801514;5
1407505566489990000;175.252807617;5
1407505566518820000;175.252807617;5
1407505566545860000;175.252807617;5
1407505566575840000;175.352813721;5
1407505566605860000;175.452819824;5
1407505566633800000;175.452819824;5
1407505566661930000;175.552825928;5
1407505566692930000;175.552825928;5
1407505566723950000;175.552825928;5
1407505566753940000;175.652832031;5
1407505566780950000;175.652832031;5
1407505566810870000;175.752838135;5
1407505566836870000;175.752838135;5
1407505566862840000;175.852844238;5
1407505566892820000;175.852844238;5
1407505566918850000;175.952850342;5
1407505566946830000;175.952850342;5
1407505566977950000;176.052856445;5
1407505567009020000;176.152862549;5
1407505567038900000;176.152862549;5
1407505567069920000;176.252868652;5
1407505567099060000;176.252868652;5
1407505567127920000;176.352874756;5
1407505567155960000;176.452880859;5
1407505567185860000;176.452880859;5
1407505567213800000;176.552886963;5
1407505567236800000;176.552886963;5
1407505567266810000;176.652893066;5
1407505567293050000;176.652893066;5
1407505567320880000;176.75289917;5
1407505567349910000;176.75289917;5
1407505567376910000;176.852905273;5
1407505567406840000;176.952911377;5
1407505567409510000;176.952911377;0
1407505567438000000;176.952911377;0
1407505567465960000;176.952911377;0
1407505567492910000;177.05291748;0
1407505567522990000;177.05291748;0
1407505567552890000;177.05291748;0
1407505567583930000;177.05291748;0
1407505567613940000;177.152923584;0
1407505567643920000;177.152923584;0
1407505567669940000;177.152923584;0
1407505567698850000;177.152923584;0
1407505567728810000;177.152923584;0
1407505567756830000;177.152923584;0
1407505567784800000;177.152923584;0
1407505567813920000;177.252929688;0
1407505567837890000;177.252929688;0
1407505567862920000;177.252929688;0
1407505567891960000;177.252929688;0
1407505567914980000;177.252929688;0
1407505567940860000;177.252929688;0
1407505567968920000;177.252929688;0
1407505567998890000;177.252929688;0
1407505568028050000;177.252929688;0
1407505568057930000;177.252929688;0
1407505568086930000;177.252929688;0
1407505568116840000;177.252929688;0
1407505568146810000;177.252929688;0
1407505568172810000;177.252929688;0
1407505568201820000;177.252929688;0
1407505568231940000;177.252929688;0
1407505568261900000;177.252929688;0
1407505568288890000;177.252929688;0
1407505568315950000;177.252929688;0
1407505568344850000;177.252929688;0
1407505568370850000;177.252929688;0
1407505568395930000;177.252929688;0
1407505568421870000;177.252929688;0
1407505568451790000;177.252929688;0
1407505568481840000;177.252929688;0
1407505568510840000;177.252929688;0
1407505568540900000;177.252929688;0
1407505568570900000;177.252929688;0
1407505568598930000;177.252929688;0
1407505568628890000;177.252929688;0
1407505568657810000;177.252929688;0
1407505568687160000;177.252929688;0
