%time.ns;field.joint1.deg;Vel.deg/s
1407756409047350000;280.50289917;5
1407756409077450000;280.602905273;5
1407756409107480000;280.602905273;5
1407756409135470000;280.602905273;5
1407756409165460000;280.702911377;5
1407756409192480000;280.702911377;5
1407756409223460000;280.80291748;5
1407756409252370000;280.80291748;5
1407756409282360000;280.902923584;5
1407756409308330000;280.902923584;5
1407756409337370000;280.902923584;5
1407756409367490000;281.002929688;5
1407756409397430000;281.002929688;5
1407756409427430000;281.102935791;5
1407756409459610000;281.102935791;5
1407756409484350000;281.202941895;5
1407756409509330000;281.202941895;5
1407756409537350000;281.302947998;5
1407756409565350000;281.302947998;5
1407756409594340000;281.402954102;5
1407756409623460000;281.402954102;5
1407756409653410000;281.502960205;5
1407756409683470000;281.602966309;5
1407756409711420000;281.602966309;5
1407756409741500000;281.702972412;5
1407756409772350000;281.702972412;5
1407756409801480000;281.802978516;5
1407756409832450000;281.802978516;5
1407756409862450000;281.902984619;5
1407756409890690000;281.902984619;5
1407756409918440000;282.002990723;5
1407756409946310000;282.002990723;5
1407756409975360000;282.102996826;5
1407756410000350000;282.20300293;5
1407756410029350000;282.20300293;5
1407756410053360000;282.20300293;5
1407756410081430000;282.303009033;5
1407756410101710000;282.303009033;10
1407756410108450000;282.303009033;10
1407756410137450000;282.403015137;10
1407756410165420000;282.403015137;10
1407756410192440000;282.50302124;10
1407756410219440000;282.50302124;10
1407756410246320000;282.603027344;10
1407756410277330000;282.603027344;10
1407756410308350000;282.703033447;10
1407756410338340000;282.703033447;10
1407756410368480000;282.703033447;10
1407756410399470000;282.803039551;10
1407756410429430000;282.903045654;10
1407756410460430000;282.903045654;10
1407756410491370000;282.903045654;10
1407756410522350000;283.003051758;10
1407756410550440000;283.003051758;10
1407756410581430000;283.103057861;10
1407756410611470000;283.103057861;10
1407756410640450000;283.203063965;10
1407756410671450000;283.203063965;10
1407756410701460000;283.303070068;10
1407756410732330000;283.303070068;10
1407756410763380000;283.403076172;10
1407756410793370000;283.403076172;10
1407756410824360000;283.503082275;10
1407756410852380000;283.603088379;10
1407756410879350000;283.603088379;10
1407756410908350000;283.703094482;10
1407756410935430000;283.703094482;10
1407756410963370000;283.803100586;10
1407756410990360000;283.803100586;10
1407756411018420000;283.903106689;10
1407756411048390000;284.003112793;10
